,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0,0.0,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
1,0.01,0.0,0.5531914893617021,1.0,0.25,1.3333333333333333,0.0,1.0,0.75,0.0,0.475,1.0,0.475,1.0,0.6440677966101694,0.851063829787234
2,0.02,0.0,0.5638297872340425,1.0,0.26785714285714285,1.3658536585365852,0.0,1.0,0.7321428571428572,0.0,0.4810126582278481,1.0,0.4810126582278481,1.0,0.6495726495726496,0.8404255319148937
3,0.03,0.0,0.5691489361702128,1.0,0.2767857142857143,1.382716049382716,0.0,1.0,0.7232142857142857,0.0,0.4840764331210191,1.0,0.4840764331210191,1.0,0.6523605150214593,0.8351063829787234
4,0.04,0.0,0.5904255319148937,1.0,0.3125,1.4545454545454546,0.0,1.0,0.6875,0.0,0.49673202614379086,1.0,0.49673202614379086,1.0,0.6637554585152838,0.8138297872340425
5,0.05,0.0,0.5957446808510638,0.9868421052631579,0.33035714285714285,1.4736842105263155,0.03982930298719785,0.9868421052631579,0.6696428571428572,0.02631578947368421,0.5,0.9736842105263158,0.5,0.9868421052631579,0.663716814159292,0.7978723404255319
6,0.06,0.0,0.6223404255319149,0.9868421052631579,0.375,1.5789473684210527,0.03508771929824572,0.9868421052631579,0.625,0.023255813953488372,0.5172413793103449,0.9767441860465116,0.5172413793103449,0.9868421052631579,0.6787330316742081,0.7712765957446809
7,0.07,0.0,0.6329787234042553,0.9868421052631579,0.39285714285714285,1.6253869969040244,0.03349282296650728,0.9868421052631579,0.6071428571428572,0.022222222222222223,0.5244755244755245,0.9777777777777777,0.5244755244755245,0.9868421052631579,0.684931506849315,0.7606382978723404
8,0.08,0.0,0.6382978723404256,0.9868421052631579,0.4017857142857143,1.6496465043205026,0.032748538011696006,0.9868421052631579,0.5982142857142857,0.021739130434782608,0.528169014084507,0.9782608695652174,0.528169014084507,0.9868421052631579,0.6880733944954127,0.7553191489361702
9,0.09,0.0,0.6436170212765957,0.9736842105263158,0.41964285714285715,1.6777327935222675,0.06270996640537507,0.9736842105263158,0.5803571428571428,0.04081632653061224,0.5323741007194245,0.9591836734693877,0.5323741007194245,0.9736842105263158,0.688372093023256,0.7393617021276596
10,0.1,0.0,0.6648936170212766,0.9736842105263158,0.45535714285714285,1.7877480586712682,0.057791537667698595,0.9736842105263158,0.5446428571428572,0.03773584905660377,0.5481481481481482,0.9622641509433962,0.5481481481481482,0.9736842105263158,0.7014218009478672,0.7180851063829787
11,0.11,0.0,0.6808510638297872,0.9736842105263158,0.48214285714285715,1.8802177858439204,0.054580896686159786,0.9736842105263158,0.5178571428571428,0.03571428571428571,0.5606060606060606,0.9642857142857143,0.5606060606060606,0.9736842105263158,0.7115384615384615,0.7021276595744681
12,0.12,0.0,0.7127659574468085,0.9736842105263158,0.5357142857142857,2.097165991902834,0.049122807017543804,0.9736842105263158,0.4642857142857143,0.03225806451612903,0.5873015873015873,0.967741935483871,0.5873015873015873,0.9736842105263158,0.7326732673267327,0.6702127659574468
13,0.13,0.0,0.7127659574468085,0.9473684210526315,0.5535714285714286,2.122105263157895,0.09507640067911724,0.9473684210526315,0.4464285714285714,0.06060606060606061,0.5901639344262295,0.9393939393939394,0.5901639344262295,0.9473684210526315,0.7272727272727273,0.648936170212766
14,0.14,0.0,0.723404255319149,0.9473684210526315,0.5714285714285714,2.2105263157894735,0.09210526315789483,0.9473684210526315,0.4285714285714286,0.058823529411764705,0.6,0.9411764705882353,0.6,0.9473684210526315,0.7346938775510204,0.6382978723404256
