,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0,0.0,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
1,0.01,0.0,0.43617021276595747,1.0,0.05357142857142857,1.0566037735849056,0.0,1.0,0.9464285714285714,0.0,0.4175824175824176,1.0,0.4175824175824176,1.0,0.5891472868217055,0.9680851063829787
2,0.02,0.0,0.48404255319148937,1.0,0.13392857142857142,1.1546391752577319,0.0,1.0,0.8660714285714286,0.0,0.4393063583815029,1.0,0.4393063583815029,1.0,0.6104417670682731,0.9202127659574468
3,0.03,0.0,0.5106382978723404,1.0,0.17857142857142858,1.2173913043478262,0.0,1.0,0.8214285714285714,0.0,0.4523809523809524,1.0,0.4523809523809524,1.0,0.6229508196721312,0.8936170212765957
4,0.04,0.0,0.5585106382978723,1.0,0.25892857142857145,1.3493975903614457,0.0,1.0,0.7410714285714286,0.0,0.4779874213836478,1.0,0.4779874213836478,1.0,0.6468085106382979,0.8457446808510638
5,0.05,0.0,0.5797872340425532,0.9868421052631579,0.30357142857142855,1.417004048582996,0.04334365325077413,0.9868421052631579,0.6964285714285714,0.02857142857142857,0.49019607843137253,0.9714285714285714,0.49019607843137253,0.9868421052631579,0.6550218340611353,0.8138297872340425
6,0.06,0.0,0.6170212765957447,0.9868421052631579,0.36607142857142855,1.5567086730911788,0.03594351732991025,0.9868421052631579,0.6339285714285714,0.023809523809523808,0.5136986301369864,0.9761904761904762,0.5136986301369864,0.9868421052631579,0.6756756756756757,0.776595744680851
7,0.07,0.0,0.6382978723404256,0.9868421052631579,0.4017857142857143,1.6496465043205026,0.032748538011696006,0.9868421052631579,0.5982142857142857,0.021739130434782608,0.528169014084507,0.9782608695652174,0.528169014084507,0.9868421052631579,0.6880733944954127,0.7553191489361702
8,0.08,0.0,0.6595744680851063,0.9868421052631579,0.4375,1.7543859649122806,0.030075187969924904,0.9868421052631579,0.5625,0.02,0.5434782608695652,0.98,0.5434782608695652,0.9868421052631579,0.7009345794392524,0.7340425531914894
9,0.09,0.0,0.6702127659574468,0.9868421052631579,0.45535714285714285,1.8119068162208798,0.02889576883384942,0.9868421052631579,0.5446428571428572,0.019230769230769232,0.5514705882352942,0.9807692307692307,0.5514705882352942,0.9868421052631579,0.7075471698113208,0.723404255319149
10,0.1,0.0,0.6808510638297872,0.9868421052631579,0.4732142857142857,1.8733273862622657,0.027805362462760764,0.9868421052631579,0.5267857142857143,0.018518518518518517,0.5597014925373134,0.9814814814814815,0.5597014925373134,0.9868421052631579,0.7142857142857143,0.7127659574468085
11,0.11,0.0,0.6808510638297872,0.9868421052631579,0.4732142857142857,1.8733273862622657,0.027805362462760764,0.9868421052631579,0.5267857142857143,0.018518518518518517,0.5597014925373134,0.9814814814814815,0.5597014925373134,0.9868421052631579,0.7142857142857143,0.7127659574468085
12,0.12,0.0,0.6914893617021277,0.9868421052631579,0.49107142857142855,1.9390581717451525,0.026794258373205825,0.9868421052631579,0.5089285714285714,0.017857142857142856,0.5681818181818182,0.9821428571428571,0.5681818181818182,0.9868421052631579,0.7211538461538463,0.7021276595744681
13,0.13,0.0,0.6968085106382979,0.9868421052631579,0.5,1.9736842105263157,0.026315789473684292,0.9868421052631579,0.5,0.017543859649122806,0.5725190839694656,0.9824561403508771,0.5725190839694656,0.9868421052631579,0.7246376811594203,0.6968085106382979
