threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
0.01,3.0276503540974917,0.0061914758729808405,0.0,0.010479397496969783,0.011949618783765057,0.0,0.0,0.010479397496969817,0.0,0.0026690549074500666,0.0,0.0026690549074500666,0.0,0.0026505624576191743,0.00625779880323196
0.02,3.0276503540974917,0.015842293659021303,0.004216370213557806,0.027564791594828938,0.03515783414811095,0.02600094965027329,0.004216370213557806,0.02756479159482892,0.01664356663246515,0.0075098620867763205,0.016643566632465183,0.0075098620867763205,0.004216370213557806,0.007066171407528504,0.017223270525356566
0.03,3.0276503540974917,0.01415468709560576,0.011331154474650594,0.02226366018530835,0.03628326431559672,0.06386470784455675,0.011331154474650594,0.022263660185308353,0.03926847465253662,0.007398907014460558,0.03926847465253665,0.007398907014460558,0.011331154474650594,0.008173013329550984,0.013961949307417312
0.04,3.0276503540974917,0.021735435434895835,0.012649110640673486,0.03259103056646491,0.06503484033627627,0.056138744590404896,0.012649110640673486,0.03259103056646489,0.03507093985663254,0.012321954099237255,0.035070939856632545,0.012321954099237255,0.012649110640673486,0.012956518915939696,0.018380496896878304
0.05,3.0276503540974917,0.02109453569615114,0.01596464451503062,0.028942236814159143,0.07405494954021855,0.05575210265849658,0.01596464451503062,0.028942236814159146,0.034409203890494656,0.012926224000243843,0.034409203890494656,0.012926224000243843,0.01596464451503062,0.014195682402064619,0.015308854041877143
0.06,3.0276503540974917,0.017925563821748997,0.015140767614357786,0.025457786116382743,0.07498655097858781,0.043133778023297785,0.015140767614357786,0.02545778611638276,0.02701952857135809,0.011910384721841402,0.02701952857135807,0.011910384721841402,0.015140767614357786,0.012612270871540435,0.014662205942711953
0.07,3.0276503540974917,0.01638175330683187,0.015140767614357786,0.024789837733056264,0.07741496635784043,0.0380919277424861,0.015140767614357786,0.024789837733056277,0.024082386915083534,0.01147797145704205,0.02408238691508351,0.01147797145704205,0.015140767614357786,0.011649193275750027,0.015624452259132705
0.08,3.0276503540974917,0.019105257685310042,0.014130293561307345,0.027880625384653888,0.09065728269127431,0.035065587323159904,0.014130293561307345,0.027880625384653863,0.022106474521133707,0.013456255784907858,0.022106474521133714,0.013456255784907858,0.014130293561307345,0.013469347469005688,0.015944674719327166
0.09,3.0276503540974917,0.01747168028086942,0.014340261638513343,0.028026672691567302,0.09239146240887941,0.032160922666193685,0.014340261638513343,0.028026672691567278,0.020434363294077402,0.012929308013133611,0.020434363294077405,0.012929308013133611,0.014340261638513343,0.012129745773759616,0.017937239554315754
