Training_set_size,Forest,SVM_lin,SVM_rbf,LR,Neural
10,0.617072752230611,0.613829787234043,0.587520018302448,0.613252116220545,0.596596888583848
50,0.728254404026539,0.671310912834591,0.693817204301075,0.679386867993594,0.625611988103409
100,0.751881720430108,0.726641500800732,0.751321207961565,0.69604209563029,0.68850377487989
150,0.775474719743766,0.733579272477694,0.764744909631663,0.713732555479295,0.695984900480439
200,0.78029627087623,0.763103408830931,0.780279112331274,0.765299702585221,0.738395104095173
250,0.789464653397392,0.765848776023793,0.790002287805994,0.762617250057195,0.778191489361702
300,0.785112102493709,0.787302676733013,0.787868908716541,0.780845344314802,0.783539235872798
350,0.789962251201098,0.769589338824068,0.789996568291009,0.767964996568291,0.773341340654312
400,0.795893388240677,0.793742850606269,0.79537291237703,0.778706245710364,0.787840311141615
450,0.801801647220316,0.798581560283688,0.805547929535575,0.791638069091741,0.800183024479524
500,0.814144360558224,0.799673987645848,0.807172271791352,0.805033173186914,0.801795927705331
600,0.801241134751773,0.796448181194235,0.802356440173873,0.795904827270647,0.802356440173873
700,0.800194463509494,0.79533859528712,0.807704186684969,0.801795927705331,0.800177304964539
800,0.815751544269046,0.808825211622054,0.810924273621597,0.806131320064059,0.80287691603752
900,0.815762983299016,0.800743536948067,0.807149393731411,0.805033173186914,0.806102722489133
1000,0.804998856097003,0.802367879203843,0.797500571951499,0.794852436513384,0.799124914207275
1100,0.813601006634637,0.804524136353237,0.808247540608556,0.803963623884695,0.806114161519103
1200,0.820024021962938,0.80665751544269,0.810935712651567,0.806640356897735,0.807721345229924
1300,0.820029741477923,0.809883321894303,0.813091969800961,0.796985815602837,0.801269732326699
1400,0.812525737817433,0.808276138183482,0.809877602379318,0.805050331731869,0.808253260123542
1500,0.821110729810112,0.809877602379318,0.814693433996797,0.805587966140471,0.806651795927705
1600,0.820567375886525,0.80773850377488,0.811473347060169,0.80665751544269,0.803425989476093
1700,0.818960192175704,0.807200869366278,0.813080530770991,0.80665751544269,0.807195149851293
1800,0.818960192175704,0.807200869366278,0.813080530770991,0.80665751544269,0.807195149851293
