threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
0.01,4.5,0.5386524822695036,1.0,0.2268018018018018,1.2952573022231695,0.0,1.0,0.7731981981981982,0.0,0.4666518817753662,1.0,0.4666518817753662,1.0,0.6362902279009608,0.8646762754518417
0.02,4.5,0.5601464195836192,0.9959999999999999,0.26552445302445304,1.357111769364616,0.013903030303030278,0.9959999999999999,0.734475546975547,0.009108159392789373,0.478369174307132,0.9908918406072107,0.478369174307132,0.9959999999999999,0.6462733731464427,0.8399565316861131
0.03,4.5,0.5837966140471289,0.9959999999999999,0.3051560489060489,1.4365350460920212,0.012295431893687685,0.9959999999999999,0.6948439510939511,0.00808080808080808,0.49239228155110093,0.9919191919191921,0.49239228155110093,0.9959999999999999,0.6588988300667324,0.8163063372226036
0.04,4.5,0.6052791123312743,0.9933333333333334,0.34296171171171164,1.515210765167622,0.019498903909389805,0.9933333333333334,0.6570382882882883,0.012833183547001043,0.5056957306350611,0.987166816452999,0.5056957306350611,0.9933333333333334,0.6701144730441302,0.7926733013040493
0.05,4.5,0.6267787691603752,0.9906842105263157,0.38078346203346203,1.60427033701029,0.02547512982851326,0.9906842105263157,0.6192165379665381,0.016679382564939484,0.5198664940155682,0.9833206174350606,0.5198664940155682,0.9906842105263157,0.6818233210363107,0.7690345458705102
0.06,4.5,0.642879203843514,0.9906842105263157,0.40777027027027024,1.678098138006177,0.02366033462630645,0.9906842105263157,0.5922297297297298,0.015526975122418619,0.5310098036399238,0.9844730248775815,0.5310098036399238,0.9906842105263157,0.691328821204959,0.7529341111873713
0.07,4.5,0.6557709906199954,0.988017543859649,0.43117760617760614,1.7431621979543093,0.028764694197252222,0.988017543859649,0.5688223938223939,0.01883745922611469,0.5404026368179768,0.9811625407738853,0.5404026368179768,0.988017543859649,0.6985721405718637,0.7378917867764814
0.08,4.5,0.6670555936856555,0.9853508771929824,0.45189028314028307,1.8045795904542623,0.032521832730147596,0.9853508771929824,0.5481097168597169,0.021322519411764038,0.5489897611505337,0.9786774805882359,0.5489897611505337,0.9853508771929824,0.7049882905823952,0.7244566460764127
0.09,4.5,0.6745767558911004,0.9800350877192981,0.46809041184041184,1.8499625892947105,0.04313301201818915,0.9800350877192981,0.5319095881595881,0.028076859747307052,0.5550716884305269,0.971923140252693,0.5550716884305269,0.9800350877192981,0.7086073334531334,0.7126458476321209
0.1,4.5,0.6896076412720202,0.9787017543859647,0.4941843629343629,1.9410669234816424,0.043144127911043384,0.9787017543859647,0.505815637065637,0.02807452326795496,0.5670386391235768,0.9719254767320449,0.5670386391235768,0.9787017543859647,0.7179389748432335,0.6965396934339968
0.11,4.5,0.6976549988560969,0.9720350877192983,0.5121782496782497,2.0008502144973628,0.054489750217836905,0.9720350877192983,0.48782175032175035,0.03535261461921642,0.5743362786771968,0.9646473853807835,0.5743362786771968,0.9720350877192983,0.7218979011657789,0.6831159917638985
0.12,4.5,0.7132120796156486,0.9693684210526318,0.540057915057915,2.1159791947035176,0.05644848180868781,0.9693684210526318,0.4599420849420849,0.03652826918497913,0.587967282786768,0.9634717308150209,0.587967282786768,0.9693684210526318,0.7318085196266566,0.6654083733699382
0.13,4.5,0.7207389613360787,0.9627368421052631,0.5571589446589447,2.1800067274867074,0.06646689874313286,0.9627368421052631,0.44284105534105533,0.04272150919535757,0.5953480747310875,0.9572784908046424,0.5953480747310875,0.9627368421052631,0.7355943678742792,0.6525280256234272
0.14,4.5,0.72610386639213,0.9614035087719298,0.5670527670527672,2.2286107983578503,0.06765245941777506,0.9614035087719298,0.4329472329472329,0.043479843474575966,0.6005341903353363,0.956520156525424,0.6005341903353363,0.9614035087719298,0.7391205521573077,0.6460878517501716
0.15,4.5,0.7379375428963624,0.9587543859649124,0.5886743886743887,2.337562633039864,0.0697253380250131,0.9587543859649124,0.41132561132561135,0.04473561176832323,0.6120205779435269,0.9552643882316767,0.6120205779435269,0.9587543859649124,0.7469812553773723,0.6321150766415008
0.16,4.5,0.7449210706932052,0.953421052631579,0.6039816602316602,2.4159410896313687,0.07681837357273916,0.953421052631579,0.3960183397683398,0.04918721983175089,0.61973977760961,0.9508127801682491,0.61973977760961,0.953421052631579,0.7510441359757307,0.6208304735758408
0.17,4.5,0.7502859757492565,0.9454210526315789,0.6183799871299872,2.4890053997517145,0.08803983440268241,0.9454210526315789,0.38162001287001296,0.055999462558482996,0.6265487379554467,0.944000537441517,0.6265487379554467,0.9454210526315789,0.753469765971125,0.6090139556165637
0.18,4.5,0.7556508808053077,0.9400877192982456,0.6309765122265122,2.562135819887019,0.09452246678232272,0.9400877192982456,0.3690234877734878,0.05994580920467142,0.6331962670187814,0.9400541907953285,0.6331962670187814,0.9400877192982456,0.7564842537679637,0.5993479752916954
0.19,4.5,0.7663921299473806,0.9360877192982457,0.6516811454311455,2.701955669752425,0.09781059228734931,0.9360877192982457,0.3483188545688546,0.061917572039071646,0.6454640448123881,0.9380824279609282,0.6454640448123881,0.9360877192982457,0.7638801751123052,0.5853809196980095
0.2,4.5,0.7690631434454358,0.9320877192982456,0.6588642213642214,2.747319329424039,0.10271854127209853,0.9320877192982456,0.3411357786357786,0.06472434862366994,0.6492546828952648,0.9352756513763302,0.6492546828952648,0.9320877192982456,0.7651530269143787,0.5794840997483413
0.21,4.5,0.7717570350034317,0.9267719298245612,0.6669723294723295,2.7933459433691796,0.10948796733379262,0.9267719298245612,0.3330276705276705,0.0686320124689143,0.6532367388741143,0.9313679875310857,0.6532367388741143,0.9267719298245612,0.7661481824320927,0.5725005719514985
0.22,4.5,0.7776652939830702,0.9227719298245614,0.6795768983268984,2.8914394849123957,0.1135268897108653,0.9227719298245614,0.3204231016731017,0.07091834340915902,0.6609064008679983,0.9290816565908411,0.6609064008679983,0.9227719298245614,0.7700291014812346,0.5633665065202471
0.23,4.5,0.780885380919698,0.9187719298245612,0.6876769626769628,2.9543697347973668,0.1177257180271564,0.9187719298245612,0.31232303732303734,0.07334655913712354,0.6657377824987423,0.9266534408628765,0.6657377824987423,0.9187719298245612,0.7718276015743772,0.5569206131320065
0.24,4.5,0.7857240905971175,0.9161052631578948,0.6975868725868726,3.051504059891694,0.11991367047471124,0.9161052631578948,0.3024131274131275,0.07450928586605463,0.6724080589792755,0.9254907141339455,0.6724080589792755,0.9161052631578948,0.7752595105817683,0.5499313658201784
0.25,4.5,0.7862617250057197,0.9147719298245613,0.6993886743886744,3.0662010870896697,0.12138557511328255,0.9147719298245613,0.3006113256113256,0.07532024862427905,0.6734508112808216,0.924679751375721,0.6734508112808216,0.9147719298245613,0.7754324123333506,0.548318462594372
0.26,4.5,0.7910889956531687,0.9121052631578948,0.7092824967824969,3.163816110167893,0.12330995952697468,0.9121052631578948,0.29071750321750317,0.07642566517968209,0.6802183531749912,0.9235743348203179,0.6802183531749912,0.9121052631578948,0.7788881568725476,0.5413406543125143
0.27,4.5,0.7943090825897963,0.909438596491228,0.7164816602316602,3.244296477283816,0.1260011413024499,0.909438596491228,0.28351833976833973,0.07797909950244189,0.6851535461031827,0.9220209004975581,0.6851535461031827,0.909438596491228,0.7811147259263549,0.5359700297414779
0.28,4.5,0.7986101578586136,0.9067894736842105,0.7254826254826254,3.3372424233925564,0.12814819088431978,0.9067894736842105,0.2745173745173745,0.07932013451383751,0.6913789609609607,0.9206798654861623,0.6913789609609607,0.9067894736842105,0.7842116975615457,0.5295298558682224
0.29,4.5,0.8007606954930221,0.9054561403508771,0.7299871299871299,3.3970940646635746,0.1291948587406937,0.9054561403508771,0.27001287001287,0.0799830868584331,0.6947714251405783,0.9200169131415669,0.6947714251405783,0.9054561403508771,0.7858520854363564,0.5263040494166095
0.3,4.5,0.8023678792038436,0.9027894736842106,0.7344835907335907,3.4553745284211415,0.13211218736626065,0.9027894736842106,0.2655164092664092,0.08161081220039296,0.6978044318221057,0.9183891877996071,0.6978044318221057,0.9027894736842106,0.7867465065510459,0.5225463280713795
0.31,4.5,0.8039807824296499,0.9001403508771929,0.7389800514800516,3.496104038723595,0.1350239262835066,0.9001403508771929,0.26101994851994853,0.08323982441471828,0.700573124317715,0.9167601755852818,0.700573124317715,0.9001403508771929,0.7875612935274925,0.5187943262411349
0.32,4.5,0.8055822466254862,0.8974736842105264,0.7434684684684685,3.5476065221832016,0.1378198891277501,0.8974736842105264,0.2565315315315315,0.0848813710654363,0.703619971136422,0.9151186289345639,0.703619971136422,0.8974736842105264,0.7884619960820027,0.5150423244108899
0.33,4.5,0.805576527110501,0.8934736842105264,0.7461631274131274,3.571237544182644,0.14256337967552282,0.8934736842105264,0.25383687258687254,0.0875486174530636,0.7049717881790285,0.9124513825469365,0.7049717881790285,0.8934736842105264,0.787712361597151,0.5118222374742621
0.34,4.5,0.8066517959277052,0.8894736842105264,0.7506676319176319,3.624015668280768,0.14686756855242356,0.8894736842105264,0.2493323680823681,0.0900309984423128,0.7079728728357225,0.9099690015576872,0.7079728728357225,0.8894736842105264,0.7879335849829584,0.507521162205445
0.35000000000000003,4.5,0.8082646991535117,0.8854736842105263,0.7560730373230373,3.684845590574928,0.15134128087999277,0.8854736842105263,0.24392696267696268,0.09245956287943675,0.7114121594544571,0.9075404371205634,0.7114121594544571,0.8854736842105263,0.7885396156038941,0.5026824525280256
