,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0,0.0,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
1,1e-30,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
2,2e-30,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
3,4e-30,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
4,8e-30,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
5,1.6e-29,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
6,3.2e-29,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
7,6.4e-29,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
8,1.28e-28,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
9,2.56e-28,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
10,5.12e-28,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
11,1.024e-27,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
12,2.048e-27,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
13,4.096e-27,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
14,8.192e-27,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
15,1.6384e-26,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
16,3.2768e-26,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
17,6.5536e-26,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
18,1.31072e-25,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
19,2.62144e-25,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
20,5.24288e-25,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
21,1.048576e-24,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
22,2.097152e-24,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
23,4.194304e-24,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
24,8.388608e-24,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
25,1.6777216e-23,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
26,3.3554432e-23,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
27,6.7108864e-23,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
28,1.34217728e-22,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
29,2.68435456e-22,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
30,5.36870912e-22,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
31,1.073741824e-21,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
32,2.147483648e-21,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
33,4.294967296e-21,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
34,8.589934592e-21,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
35,1.7179869184e-20,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
36,3.4359738368e-20,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
37,6.8719476736e-20,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
38,1.37438953472e-19,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
39,2.74877906944e-19,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
40,5.49755813888e-19,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
41,1.099511627776e-18,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
42,2.199023255552e-18,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
43,4.398046511104e-18,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
44,8.796093022208e-18,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
45,1.7592186044416e-17,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
46,3.5184372088832e-17,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
