threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1e-30,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
2e-30,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
4e-30,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
8e-30,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.6e-29,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
3.2e-29,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
6.4e-29,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.28e-28,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
2.56e-28,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
5.12e-28,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.024e-27,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
2.048e-27,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
4.096e-27,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
8.192e-27,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.6384e-26,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
3.2768e-26,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
6.5536e-26,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.31072e-25,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
2.62144e-25,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
5.24288e-25,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
1.048576e-24,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
