,accuracy,sensitivity,specificity,positive likelihood,negative likelihood,false positive rate,false negative rate,positive predictive value,negative predictive value,positive rate
0,0.867021276595745,0.868421052631579,0.866071428571429,6.48421052631579,0.151926207270754,0.133928571428571,0.131578947368421,0.814814814814815,0.906542056074766,0.430851063829787
1,0.844086021505376,0.853333333333333,0.837837837837838,5.26222222222222,0.17505376344086,0.162162162162162,0.146666666666667,0.780487804878049,0.894230769230769,0.440860215053763
2,0.78494623655914,0.826666666666667,0.756756756756757,3.39851851851852,0.229047619047619,0.243243243243243,0.173333333333333,0.696629213483146,0.865979381443299,0.478494623655914
3,0.774193548387097,0.693333333333333,0.828828828828829,4.05052631578947,0.37,0.171171171171171,0.306666666666667,0.732394366197183,0.8,0.381720430107527
4,0.806451612903226,0.76,0.837837837837838,4.68666666666667,0.286451612903226,0.162162162162162,0.24,0.76,0.837837837837838,0.403225806451613
5,0.811827956989247,0.786666666666667,0.828828828828829,4.59578947368421,0.257391304347826,0.171171171171171,0.213333333333333,0.756410256410256,0.851851851851852,0.419354838709678
6,0.790322580645161,0.733333333333333,0.828828828828829,4.28421052631579,0.321739130434783,0.171171171171171,0.266666666666667,0.743243243243243,0.821428571428571,0.397849462365591
7,0.854838709677419,0.813333333333333,0.882882882882883,6.94461538461538,0.211428571428571,0.117117117117117,0.186666666666667,0.824324324324324,0.875,0.397849462365591
8,0.833333333333333,0.786666666666667,0.864864864864865,5.82133333333334,0.246666666666667,0.135135135135135,0.213333333333333,0.797297297297297,0.857142857142857,0.397849462365591
9,0.82258064516129,0.8,0.837837837837838,4.93333333333333,0.238709677419355,0.162162162162162,0.2,0.769230769230769,0.861111111111111,0.419354838709678
,,,,,,,,,,
,0.818960192175703,0.792175438596491,0.837057593307593,,,,,,,
,0.009796022844297,0.016858994942612,0.010733225953253,,,,,,,
