,accuracy,sensitivity,specificity,positive likelihood,negative likelihood,false positive rate,false negative rate,positive predictive value,negative predictive value,positive rate
0,0.808510638297872,0.789473684210526,0.821428571428571,4.42105263157895,0.25629290617849,0.178571428571429,0.210526315789474,0.75,0.851851851851852,0.425531914893617
1,0.811827956989247,0.76,0.846846846846847,4.96235294117647,0.283404255319149,0.153153153153153,0.24,0.77027027027027,0.839285714285714,0.397849462365591
2,0.758064516129032,0.8,0.72972972972973,2.96,0.274074074074074,0.27027027027027,0.2,0.666666666666667,0.84375,0.483870967741936
3,0.795698924731183,0.746666666666667,0.828828828828829,4.36210526315789,0.305652173913043,0.171171171171171,0.253333333333333,0.746666666666667,0.828828828828829,0.403225806451613
4,0.747311827956989,0.693333333333333,0.783783783783784,3.20666666666667,0.391264367816092,0.216216216216216,0.306666666666667,0.68421052631579,0.790909090909091,0.408602150537634
5,0.82258064516129,0.853333333333333,0.801801801801802,4.30545454545455,0.182921348314607,0.198198198198198,0.146666666666667,0.744186046511628,0.89,0.46236559139785
6,0.817204301075269,0.773333333333333,0.846846846846847,5.04941176470588,0.267659574468085,0.153153153153153,0.226666666666667,0.773333333333333,0.846846846846847,0.403225806451613
7,0.82258064516129,0.8,0.837837837837838,4.93333333333333,0.238709677419355,0.162162162162162,0.2,0.769230769230769,0.861111111111111,0.419354838709678
8,0.844086021505376,0.826666666666667,0.855855855855856,5.735,0.202526315789474,0.144144144144144,0.173333333333333,0.794871794871795,0.87962962962963,0.419354838709678
9,0.838709677419355,0.84,0.837837837837838,5.18,0.190967741935484,0.162162162162162,0.16,0.777777777777778,0.885714285714286,0.435483870967742
,,,,,,,,,,
,0.80665751544269,0.788280701754386,0.819079794079794,,,,,,,
,0.010044351318387,0.015065144723755,0.012122778084003,,,,,,,
