,accuracy,sensitivity,specificity,positive likelihood,negative likelihood,false positive rate,false negative rate,positive predictive value,negative predictive value,positive rate
0,0.808510638297872,0.802631578947369,0.8125,4.28070175438597,0.242914979757085,0.1875,0.197368421052632,0.74390243902439,0.858490566037736,0.436170212765958
1,0.790322580645161,0.746666666666667,0.81981981981982,4.144,0.309010989010989,0.18018018018018,0.253333333333333,0.736842105263158,0.827272727272727,0.408602150537634
2,0.758064516129032,0.8,0.72972972972973,2.96,0.274074074074074,0.27027027027027,0.2,0.666666666666667,0.84375,0.483870967741936
3,0.795698924731183,0.72,0.846846846846847,4.70117647058824,0.33063829787234,0.153153153153153,0.28,0.76056338028169,0.817391304347826,0.381720430107527
4,0.768817204301075,0.72,0.801801801801802,3.63272727272727,0.349213483146067,0.198198198198198,0.28,0.710526315789474,0.809090909090909,0.408602150537634
5,0.827956989247312,0.88,0.792792792792793,4.24695652173913,0.151363636363636,0.207207207207207,0.12,0.741573033707865,0.907216494845361,0.478494623655914
6,0.806451612903226,0.786666666666667,0.81981981981982,4.366,0.26021978021978,0.18018018018018,0.213333333333333,0.746835443037975,0.850467289719626,0.424731182795699
7,0.82258064516129,0.8,0.837837837837838,4.93333333333333,0.238709677419355,0.162162162162162,0.2,0.769230769230769,0.861111111111111,0.419354838709678
8,0.838709677419355,0.826666666666667,0.846846846846847,5.39764705882353,0.20468085106383,0.153153153153153,0.173333333333333,0.784810126582278,0.878504672897196,0.424731182795699
9,0.854838709677419,0.853333333333333,0.855855855855856,5.92,0.171368421052632,0.144144144144144,0.146666666666667,0.8,0.896226415094339,0.430107526881721
,,,,,,,,,,
,0.807195149851293,0.79359649122807,0.816385135135135,,,,,,,
,0.009566525955449,0.016791086835187,0.011638589030247,,,,,,,
