,accuracy,sensitivity,specificity,positive likelihood,negative likelihood,false positive rate,false negative rate,positive predictive value,negative predictive value,positive rate
0,0.803191489361702,0.828947368421053,0.785714285714286,3.86842105263158,0.217703349282297,0.214285714285714,0.171052631578947,0.724137931034483,0.871287128712871,0.462765957446808
1,0.801075268817204,0.84,0.774774774774775,3.7296,0.206511627906977,0.225225225225225,0.16,0.715909090909091,0.877551020408163,0.473118279569893
2,0.774193548387097,0.84,0.72972972972973,3.108,0.219259259259259,0.27027027027027,0.16,0.67741935483871,0.870967741935484,0.5
3,0.795698924731183,0.786666666666667,0.801801801801802,3.96909090909091,0.266067415730337,0.198198198198198,0.213333333333333,0.728395061728395,0.847619047619048,0.435483870967742
4,0.774193548387097,0.76,0.783783783783784,3.515,0.306206896551724,0.216216216216216,0.24,0.703703703703704,0.828571428571429,0.435483870967742
5,0.817204301075269,0.88,0.774774774774775,3.9072,0.154883720930233,0.225225225225225,0.12,0.725274725274725,0.905263157894737,0.489247311827957
6,0.795698924731183,0.8,0.792792792792793,3.86086956521739,0.252272727272727,0.207207207207207,0.2,0.72289156626506,0.854368932038835,0.446236559139785
7,0.827956989247312,0.8,0.846846846846847,5.22352941176471,0.236170212765957,0.153153153153153,0.2,0.779220779220779,0.862385321100918,0.413978494623656
8,0.82258064516129,0.8,0.837837837837838,4.93333333333333,0.238709677419355,0.162162162162162,0.2,0.769230769230769,0.861111111111111,0.419354838709678
9,0.860215053763441,0.866666666666667,0.855855855855856,6.0125,0.15578947368421,0.144144144144144,0.133333333333333,0.802469135802469,0.904761904761905,0.435483870967742
,,,,,,,,,,
,0.807200869366278,0.820228070175439,0.798391248391248,,,,,,,
,0.008215892767209,0.011817324443611,0.012226154720928,,,,,,,
