,accuracy,sensitivity,specificity,positive likelihood,negative likelihood,false positive rate,false negative rate,positive predictive value,negative predictive value,positive rate
0,0.835106382978723,0.881578947368421,0.803571428571429,4.48803827751196,0.147368421052632,0.196428571428571,0.118421052631579,0.752808988764045,0.909090909090909,0.473404255319149
1,0.833333333333333,0.866666666666667,0.810810810810811,4.58095238095238,0.164444444444444,0.189189189189189,0.133333333333333,0.755813953488372,0.9,0.46236559139785
2,0.795698924731183,0.853333333333333,0.756756756756757,3.50814814814815,0.193809523809524,0.243243243243243,0.146666666666667,0.703296703296703,0.884210526315789,0.489247311827957
3,0.811827956989247,0.773333333333333,0.837837837837838,4.76888888888889,0.270537634408602,0.162162162162162,0.226666666666667,0.763157894736842,0.845454545454545,0.408602150537634
4,0.78494623655914,0.786666666666667,0.783783783783784,3.63833333333333,0.272183908045977,0.216216216216216,0.213333333333333,0.710843373493976,0.844660194174757,0.446236559139785
5,0.806451612903226,0.826666666666667,0.792792792792793,3.9895652173913,0.218636363636364,0.207207207207207,0.173333333333333,0.729411764705882,0.871287128712871,0.456989247311828
6,0.811827956989247,0.786666666666667,0.828828828828829,4.59578947368421,0.257391304347826,0.171171171171171,0.213333333333333,0.756410256410256,0.851851851851852,0.419354838709678
7,0.801075268817204,0.773333333333333,0.81981981981982,4.292,0.276483516483517,0.18018018018018,0.226666666666667,0.743589743589744,0.842592592592593,0.419354838709678
8,0.838709677419355,0.84,0.837837837837838,5.18,0.190967741935484,0.162162162162162,0.16,0.777777777777778,0.885714285714286,0.435483870967742
9,0.811827956989247,0.813333333333333,0.810810810810811,4.29904761904762,0.230222222222222,0.189189189189189,0.186666666666667,0.74390243902439,0.865384615384615,0.440860215053763
,,,,,,,,,,
,0.813080530770991,0.820157894736842,0.808285070785071,,,,,,,
,0.0056160501781,0.012537620280615,0.008050049377205,,,,,,,
