,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0,-10.0,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
1,-9.87,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
2,-9.74,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
3,-9.61,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
4,-9.48,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
5,-9.35,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
6,-9.22,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
7,-9.09,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
8,-8.96,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
9,-8.83,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
10,-8.7,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
11,-8.57,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
12,-8.44,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
13,-8.31,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
14,-8.18,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
15,-8.05,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
16,-7.92,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
17,-7.79,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
18,-7.66,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
19,-7.529999999999999,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
20,-7.4,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
21,-7.27,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
22,-7.14,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
23,-7.01,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
24,-6.88,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
25,-6.75,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
26,-6.62,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
27,-6.49,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
28,-6.359999999999999,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
29,-6.23,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
30,-6.1,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
31,-5.97,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
32,-5.84,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
33,-5.71,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
34,-5.58,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
35,-5.45,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
36,-5.32,0.0,0.42021276595744683,1.0,0.026785714285714284,1.0275229357798166,0.0,1.0,0.9732142857142857,0.0,0.41081081081081083,1.0,0.41081081081081083,1.0,0.5823754789272031,0.9840425531914894
37,-5.1899999999999995,0.0,0.42021276595744683,1.0,0.026785714285714284,1.0275229357798166,0.0,1.0,0.9732142857142857,0.0,0.41081081081081083,1.0,0.41081081081081083,1.0,0.5823754789272031,0.9840425531914894
38,-5.06,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
39,-4.93,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
40,-4.8,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
41,-4.67,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
42,-4.54,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
43,-4.41,0.0,0.4308510638297872,1.0,0.044642857142857144,1.0467289719626167,0.0,1.0,0.9553571428571429,0.0,0.41530054644808745,1.0,0.41530054644808745,1.0,0.5868725868725869,0.973404255319149
