threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
-10.0,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.87,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.74,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.61,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.48,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.35,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.22,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-9.09,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.96,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.83,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.7,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.57,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.44,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.31,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.18,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-8.05,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-7.92,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
-7.79,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.66,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.529999999999999,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.4,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.27,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.14,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-7.01,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-6.88,4.5,0.40386639212994735,1.0,0.0009009009009009009,1.0009090909090907,0.0,1.0,0.9990990990990991,0.0,0.4035467176167245,1.0,0.4035467176167245,1.0,0.5750381802105942,0.9994623655913978
-6.75,4.5,0.4043983070235645,1.0,0.001793758043758044,1.0018099918099916,0.0,1.0,0.998206241956242,0.0,0.4037628969317774,1.0,0.4037628969317774,1.0,0.5752570994409203,0.9989304506977807
-6.62,4.5,0.4043983070235645,1.0,0.001793758043758044,1.0018099918099916,0.0,1.0,0.998206241956242,0.0,0.4037628969317774,1.0,0.4037628969317774,1.0,0.5752570994409203,0.9989304506977807
-6.49,4.5,0.4043983070235645,1.0,0.001793758043758044,1.0018099918099916,0.0,1.0,0.998206241956242,0.0,0.4037628969317774,1.0,0.4037628969317774,1.0,0.5752570994409203,0.9989304506977807
-6.359999999999999,4.5,0.4049359414321666,1.0,0.0026946589446589448,1.0027190827190826,0.0,1.0,0.997305341055341,0.0,0.4039808568271567,1.0,0.4039808568271567,1.0,0.5754781427654118,0.9983928162891786
-6.23,4.5,0.4049359414321666,1.0,0.0026946589446589448,1.0027190827190826,0.0,1.0,0.997305341055341,0.0,0.4039808568271567,1.0,0.4039808568271567,1.0,0.5754781427654118,0.9983928162891786
-6.1,4.5,0.40547357584076876,1.0,0.003595559845559845,1.0036281736281736,0.0,1.0,0.9964044401544401,0.0,0.4041988167225359,1.0,0.4041988167225359,1.0,0.5756991860899033,0.9978551818805764
-5.97,4.5,0.40601121024937087,1.0,0.004496460746460746,1.0045372645372646,0.0,1.0,0.9955035392535393,0.0,0.4044167766179151,1.0,0.4044167766179151,1.0,0.5759202294143948,0.9973175474719744
-5.84,4.5,0.4070864790665752,1.0,0.006298262548262548,1.0063554463554465,0.0,1.0,0.9937017374517374,0.0,0.40485269640867355,1.0,0.40485269640867355,1.0,0.5763623160633781,0.99624227865477
-5.71,4.5,0.4070864790665752,1.0,0.006298262548262548,1.0063554463554465,0.0,1.0,0.9937017374517374,0.0,0.40485269640867355,1.0,0.40485269640867355,1.0,0.5763623160633781,0.99624227865477
-5.58,4.5,0.40762411347517735,1.0,0.007199163449163449,1.0072645372645372,0.0,1.0,0.9928008365508365,0.0,0.40507065630405287,1.0,0.40507065630405287,1.0,0.5765833593878696,0.9957046442461678
-5.45,4.5,0.409774651109586,1.0,0.010802767052767052,1.0109847670856844,0.0,1.0,0.9891972329472329,0.0,0.4059543803702431,1.0,0.4059543803702431,1.0,0.5774760870247834,0.9935541066117594
-5.32,4.5,0.4140642873484329,1.0,0.017993886743886744,1.0184260204722348,0.0,1.0,0.9820061132561134,0.0,0.4077206188343612,1.0,0.4077206188343612,1.0,0.5792589529439681,0.9892644703729123
-5.1899999999999995,4.5,0.4140642873484329,1.0,0.017993886743886744,1.0184260204722348,0.0,1.0,0.9820061132561134,0.0,0.4077206188343612,1.0,0.4077206188343612,1.0,0.5792589529439681,0.9892644703729123
-5.06,4.5,0.4167467398764585,1.0,0.02249034749034749,1.0231681769047154,0.0,1.0,0.9775096525096526,0.0,0.40883740115974154,1.0,0.40883740115974154,1.0,0.5803826590745658,0.9865820178448867
-4.93,4.5,0.4178220086936628,1.0,0.024292149292149297,1.0250540076896286,0.0,1.0,0.9757078507078507,0.0,0.4092828751440608,1.0,0.4092828751440608,1.0,0.580831613011892,0.9855067490276823
-4.8,4.5,0.41943491191946924,1.0,0.026994851994852,1.0279209431601612,0.0,1.0,0.973005148005148,0.0,0.40995622226912315,1.0,0.40995622226912315,1.0,0.581508659619291,0.983893845801876
-4.67,4.5,0.42104781514527573,1.0,0.029697554697554703,1.0307325454213045,0.0,1.0,0.9703024453024452,0.0,0.4106220252781193,1.0,0.4106220252781193,1.0,0.5821803637793673,0.9822809425760696
-4.54,4.5,0.42212308396248,1.0,0.0314993564993565,1.032618376206218,0.0,1.0,0.9685006435006434,0.0,0.4110674992624387,1.0,0.4110674992624387,1.0,0.5826293177166935,0.9812056737588651
-4.41,4.5,0.4253431708991077,1.0,0.03689671814671815,1.0384632809895815,0.0,1.0,0.9631032818532818,0.0,0.4124291237214708,1.0,0.4124291237214708,1.0,0.5839932475867364,0.9779855868222374
-4.279999999999999,4.5,0.42910661175932285,1.0,0.043203024453024444,1.0454662816017597,0.0,1.0,0.9567969755469754,0.0,0.4140433258771523,1.0,0.4140433258771523,1.0,0.5856036183626588,0.9742221459620225
-4.1499999999999995,4.5,0.4312514298787463,1.0,0.04679858429858429,1.0493737006521606,0.0,1.0,0.9532014157014157,0.0,0.41495220930827453,1.0,0.41495220930827453,1.0,0.5865133778958481,0.9720773278425989
-4.02,4.5,0.43607870052619535,1.0,0.05489060489060489,1.0586078153895113,0.0,1.0,0.9451093951093952,0.0,0.41705668234128,1.0,0.41705668234128,1.0,0.5886023938085925,0.9672500571951497
-3.8899999999999997,4.5,0.4376916037520019,1.0,0.057593307593307594,1.0616595014015635,0.0,1.0,0.9424066924066924,0.0,0.4177551797902602,1.0,0.4177551797902602,1.0,0.5892972457266026,0.9656371539693435
-3.76,4.5,0.44359986273164037,1.0,0.06749517374517375,1.0730656627408743,0.0,1.0,0.9325048262548261,0.0,0.420343723668243,1.0,0.420343723668243,1.0,0.5918631300116963,0.9597288949897049
-3.63,4.5,0.4489647677876916,1.0,0.07648809523809523,1.0836693294610054,0.0,1.0,0.9235119047619046,0.0,0.42272660889090946,1.0,0.42272660889090946,1.0,0.594215343626834,0.954363989933654
